sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:auto_concept_id_equivalence,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptId,ADD_INFO:sourceDomain,ADD_INFO:sourceConceptClass,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:obsolete_conceptId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
4739X,"Chronic sinusitis, Unspecified sinusitis (chronic)",17,257012,unique_parent_match,SINUITIS CHRONICA NUD,2000403917,Condition,5-char ICD9fi,1970-01-01,2099-12-31,473,,,0.53,APPROVED,EQUIVALENT,Javier,1642756805650,257012,Chronic sinusitis,Condition,MAPS_TO,,<auto>,1642599181407,
1625X,"Malignant neoplasm of trachea, bronchus and lung, Lower lobe, bronchus or lung[NEOPL MAL LOBI INFERIORIS PULMONIS,EI HIST/SYTOL DG]",12,4157454,parent_match,"NEOPL MAL LOBI INFERIORIS PULMONIS,EI HIST/SYTOL DG",2000401292,Condition,5-char ICD9fi,1970-01-01,2099-12-31,162,,,0.49,APPROVED,NARROWER,Javier,1642756738661,4157454,"Primary malignant neoplasm of lower lobe, bronchus or lung",Condition,MAPS_TO,,<auto>,1642599182061,
7216A,"Spondylosis and allied disorders, Ankylosing vertebral hyperostosis",0,77961,unique_parent_match,HYPEROSTOSIS VERTEBRALIS ANKYLOTICA,2000406005,Condition,5-char ICD9fi,1970-01-01,2099-12-31,721,,,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,4150319,Spondylosis and allied disorders,Condition,MAPS_TO,,<auto>,1642599182295,
6113A,"Other disorders of breast, Fat necrosis of breast",0,436470,unique_parent_match,LIPONECROSIS MAMMAE,2000404784,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.68,APPROVED,EQUIVALENT,Javier,1642756805650,436470,Fat necrosis of breast,Condition,MAPS_TO,,<auto>,1642599182783,
1725X,"Malignant melanoma of skin, Trunk, except scrotum[MELANOMA MALIGNUM CUTIS TRUNCI,EI HIST VAHV]",0,133714,parent_match,"MELANOMA MALIGNUM CUTIS TRUNCI,EI HIST VAHV",2000401497,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.42,APPROVED,NARROWER,Javier,1642756738661,40488963,Malignant melanoma of skin of scrotum,Condition,MAPS_TO,,<auto>,1642599183116,
424,Other diseases of endocardium,0,4048520,full_match,MORBI ENDOCARDII ALII,2000403659,Condition,3-char ICD9fi,1970-01-01,2099-12-31,420-429,,,0.64,APPROVED,EQUAL,Javier,1642756146926,4048520,Disorder of endocardium,Condition,MAPS_TO,,<auto>,1642599183278,
474,Chronic disease of tonsils and adenoids,0,432347,full_match,MORBI CHRONICI TONSILLAE,2000403918,Condition,3-char ICD9fi,1970-01-01,2099-12-31,470-478,,,0.84,APPROVED,EQUAL,Javier,1642756146926,432347,Chronic disease of tonsils AND/OR adenoids,Condition,MAPS_TO,,<auto>,1642599183954,
7113K,"Arthropathy associated with infections, Postdysenteric arthropathy[ENTEROARTHRITIS, MUU NIVEL]",0,78830,parent_match,"ENTEROARTHRITIS, MUU NIVEL",2000405735,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.52,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599184502,
6114A,"Other disorders of breast, Atrophy of breast",62,81623,unique_parent_match,ATROPHIA MAMMAE,2000404785,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.59,APPROVED,EQUIVALENT,Javier,1642756805650,81623,Atrophy of breast,Condition,MAPS_TO,,<auto>,1642599185154,
7218X,"Spondylosis and allied disorders, Other allied disorders of spine",17,44782549,unique_parent_match,SPONDYLARTHROSIS ALIA,2000406006,Condition,5-char ICD9fi,1970-01-01,2099-12-31,721,,,0.79,APPROVED,EQUIVALENT,Javier,1642756805650,4150319,Spondylosis and allied disorders,Condition,MAPS_TO,,<auto>,1642599185307,
9411E,"Burn of face, head and neck, Erythema [first degree][COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS I,>70%]",0,36674268,parent_match,"COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS I,>70%",2000408203,Condition,5-char ICD9fi,1970-01-01,2099-12-31,941,,,0.35,APPROVED,NARROWER,Javier,1642756738661,40491360,Epidermal burn of face,Condition,MAPS_TO,,<auto>,1642599185327,
4740A,"Chronic disease of tonsils and adenoids, Chronic tonsillitis",2776,432347,unique_parent_match,TONSILLITIS PALATINAE CHRONICA SEU RECIDIVANS,2000403919,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.71,APPROVED,EQUIVALENT,Javier,1642756805650,432347,Chronic disease of tonsils AND/OR adenoids,Condition,MAPS_TO,,<auto>,1642599186800,
6115A,"Other disorders of breast, Galactocele",0,436167,unique_parent_match,GALACTOCELE,2000404786,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.50,APPROVED,EQUIVALENT,Javier,1642756805650,77030,Disorder of breast,Condition,MAPS_TO,,<auto>,1642599187774,
1628A,"Malignant neoplasm of trachea, bronchus and lung, Other parts of bronchus or lung[NEOPL MAL PULMONIS LOCO MULTIPLICI,CA EPIDERMOIDES]",0,4311499,parent_match,"NEOPL MAL PULMONIS LOCO MULTIPLICI,CA EPIDERMOIDES",2000401293,Condition,5-char ICD9fi,1970-01-01,2099-12-31,162,,,0.47,APPROVED,NARROWER,Javier,1642756738661,35610239,Malignant neoplasm of bronchus or lung,Condition,MAPS_TO,,<auto>,1642599188019,
1726A,"Malignant melanoma of skin, Upper limb, including shoulder[MELANOMA MAL CUTIS EXTR SUPER,MELAN EX LENTIGOMAL]",0,438983,parent_match,"MELANOMA MAL CUTIS EXTR SUPER,MELAN EX LENTIGOMAL",2000401498,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.51,APPROVED,NARROWER,Javier,1642756738661,4094261,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",Condition,MAPS_TO,,<auto>,1642599188019,
7219X,"Spondylosis and allied disorders, Spondylosis of unspecified site",20,4227449,unique_parent_match,SPONDYLARTHROSIS NUD,2000406007,Condition,5-char ICD9fi,1970-01-01,2099-12-31,721,,,0.74,APPROVED,EQUIVALENT,Javier,1642756805650,4150319,Spondylosis and allied disorders,Condition,MAPS_TO,,<auto>,1642599188547,
4240A,"Other diseases of endocardium, Mitral valve disorders[INSUFFICIENTIA VALVULAE MITRALIS (NON RHEUMATICA)]",128,319843,parent_match,INSUFFICIENTIA VALVULAE MITRALIS (NON RHEUMATICA),2000403660,Condition,5-char ICD9fi,1970-01-01,2099-12-31,424,,,0.42,APPROVED,NARROWER,Javier,1642756738661,4304541,Rheumatic mitral valve insufficiency and aortic valve stenosis,Condition,MAPS_TO,,<auto>,1642599188679,
7113L,"Arthropathy associated with infections, Postdysenteric arthropathy[ENTEROARTHRITIS, USEAT NIVELET]",31,78830,parent_match,"ENTEROARTHRITIS, USEAT NIVELET",2000405736,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.54,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599189025,
9411X,"Burn of face, head and neck, Erythema [first degree][COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS I,LAAJ?]",0,36674268,parent_match,"COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS I,LAAJ?",2000408204,Condition,5-char ICD9fi,1970-01-01,2099-12-31,941,,,0.35,APPROVED,NARROWER,Javier,1642756738661,40491360,Epidermal burn of face,Condition,MAPS_TO,,<auto>,1642599189755,
722,Intervertebral disk disorders,0,75344,full_match,MORBI DISCORUM INTERVERTEBRALIUM,2000406008,Condition,3-char ICD9fi,1970-01-01,2099-12-31,720-724,,,0.72,APPROVED,EQUAL,Javier,1642756146926,4344390,Intervertebral disk calcification,Condition,MAPS_TO,,<auto>,1642599190082,
4741A,"Chronic disease of tonsils and adenoids, Hypertrophy of tonsils and adenoids[HYPERTROPHIA TONSILLAE PALATINAE]",431,4148121,parent_match,HYPERTROPHIA TONSILLAE PALATINAE,2000403920,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.60,APPROVED,NARROWER,Javier,1642756738661,31598,Hypertrophy of tonsils AND adenoids,Condition,MAPS_TO,,<auto>,1642599190683,
6116A,"Other disorders of breast, Galactorrhoea not associated with childbirth",9,79884,unique_parent_match,GALACTORRHOEA,2000404787,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.83,APPROVED,EQUIVALENT,Javier,1642756805650,79884,Galactorrhea not associated with childbirth,Condition,MAPS_TO,,<auto>,1642599191191,
7113X,"Arthropathy associated with infections, Postdysenteric arthropathy[ENTEROARTHRITIS, MÄÄRITTELEMÄTÖN]",0,78830,parent_match,"ENTEROARTHRITIS, MÄÄRITTELEMÄTÖN",2000405737,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.44,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599193011,
1726B,"Malignant melanoma of skin, Upper limb, including shoulder[MELANOMA MAL CUTIS EXTR SUPER,SUPERFICIAL SPREAD]",11,438983,parent_match,"MELANOMA MAL CUTIS EXTR SUPER,SUPERFICIAL SPREAD",2000401499,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.52,APPROVED,NARROWER,Javier,1642756738661,4110725,Superficial spreading malignant melanoma of skin,Condition,MAPS_TO,,<auto>,1642599193062,
4240B,"Other diseases of endocardium, Mitral valve disorders[PROLAPSUS VALVULAE MITRALIS (SYNDROMA BARLOW)]",145,319843,parent_match,PROLAPSUS VALVULAE MITRALIS (SYNDROMA BARLOW),2000403661,Condition,5-char ICD9fi,1970-01-01,2099-12-31,424,,,0.38,APPROVED,NARROWER,Javier,1642756738661,4215741,Mitral valve prolapse syndrome,Condition,MAPS_TO,,<auto>,1642599193466,
1628B,"Malignant neoplasm of trachea, bronchus and lung, Other parts of bronchus or lung[NEOPL MAL PULMONIS LOCO MULTIPLICI,CA MICROCELLURE]",0,4311499,parent_match,"NEOPL MAL PULMONIS LOCO MULTIPLICI,CA MICROCELLURE",2000401294,Condition,5-char ICD9fi,1970-01-01,2099-12-31,162,,,0.47,APPROVED,NARROWER,Javier,1642756738661,35610239,Malignant neoplasm of bronchus or lung,Condition,MAPS_TO,,<auto>,1642599193794,
7220A,"Intervertebral disk disorders, Displacement of cervical intervertebral disk without myelopathy",97,74725,unique_parent_match,"PROLAPSUS DISCI INTERVERT CERV, SINE MYELO/RHIZOPAT",2000406009,Condition,5-char ICD9fi,1970-01-01,2099-12-31,722,,,0.77,APPROVED,EQUIVALENT,Javier,1642756805650,74725,Displacement of cervical intervertebral disc without myelopathy,Condition,MAPS_TO,,<auto>,1642599193794,
4741B,"Chronic disease of tonsils and adenoids, Hypertrophy of tonsils and adenoids[HYPERTROPHIA TONSILLAE PHARYNGICAE]",1235,4148121,parent_match,HYPERTROPHIA TONSILLAE PHARYNGICAE,2000403921,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.58,APPROVED,NARROWER,Javier,1642756738661,31598,Hypertrophy of tonsils AND adenoids,Condition,MAPS_TO,,<auto>,1642599194251,
6117A,"Other disorders of breast, Signs and symptoms in breast[MASTODYNIA]",7,4056770,parent_match,MASTODYNIA,2000404788,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.55,APPROVED,NARROWER,Javier,1642756738661,4056770,Breast signs and symptoms,Condition,MAPS_TO,,<auto>,1642599194759,
9412A,"Burn of face, head and neck, Blisters, epidermal loss [second degree][COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,<9%]",35,36674267,parent_match,"COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,<9%",2000408205,Condition,5-char ICD9fi,1970-01-01,2099-12-31,941,,,0.33,APPROVED,NARROWER,Javier,1642756738661,40490306,Partial thickness burn of face,Condition,MAPS_TO,,<auto>,1642599194759,
4240X,"Other diseases of endocardium, Mitral valve disorders[ALIUD VITIUM VALVULAE MITRALIS (NON RHEUMATICUM)]",18,319843,parent_match,ALIUD VITIUM VALVULAE MITRALIS (NON RHEUMATICUM),2000403662,Condition,5-char ICD9fi,1970-01-01,2099-12-31,424,,,0.42,APPROVED,NARROWER,Javier,1642756738661,4222174,Rheumatic disease of mitral valve,Condition,MAPS_TO,,<auto>,1642599197120,
7221A,"Intervertebral disk disorders, Displacement of thoracic or lumbar intervertebral disk without myelopathy",589,77638,unique_parent_match,"PROLAPSUS DISCI INTERVERT THOR, SINE MYELO/RHIZOPAT",2000406010,Condition,5-char ICD9fi,1970-01-01,2099-12-31,722,,,0.75,APPROVED,EQUIVALENT,Javier,1642756805650,80189,Displacement of lumbar intervertebral disc without myelopathy,Condition,MAPS_TO,,<auto>,1642599197902,
7115A,"Arthropathy associated with infections, Arthropathy associated with other viral diseases[ARTHRITIS (POSTINFECTIOSA) VIROSA, OLKANIVEL]",0,77348,parent_match,"ARTHRITIS (POSTINFECTIOSA) VIROSA, OLKANIVEL",2000405738,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.51,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599197914,
1726C,"Malignant melanoma of skin, Upper limb, including shoulder[MELANOMA MAL CUTIS EXTR SUPER,NODULARE]",0,438983,parent_match,"MELANOMA MAL CUTIS EXTR SUPER,NODULARE",2000401500,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.52,APPROVED,NARROWER,Javier,1642756738661,4094261,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",Condition,MAPS_TO,,<auto>,1642599197922,
1628C,"Malignant neoplasm of trachea, bronchus and lung, Other parts of bronchus or lung[NEOPL MAL PULMONIS LOCO MULTIPLICI,ADENOCARCINOMA]",0,4311499,parent_match,"NEOPL MAL PULMONIS LOCO MULTIPLICI,ADENOCARCINOMA",2000401295,Condition,5-char ICD9fi,1970-01-01,2099-12-31,162,,,0.48,APPROVED,NARROWER,Javier,1642756738661,35610239,Malignant neoplasm of bronchus or lung,Condition,MAPS_TO,,<auto>,1642599198474,
4741C,"Chronic disease of tonsils and adenoids, Hypertrophy of tonsils and adenoids[HYPERTROPHIA TONSILLAE LINGUALIS]",0,4148121,parent_match,HYPERTROPHIA TONSILLAE LINGUALIS,2000403922,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.61,APPROVED,NARROWER,Javier,1642756738661,31598,Hypertrophy of tonsils AND adenoids,Condition,MAPS_TO,,<auto>,1642599199123,
6117B,"Other disorders of breast, Signs and symptoms in breast[TUMOR MAMMAE]",287,4056770,parent_match,TUMOR MAMMAE,2000404789,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.53,APPROVED,NARROWER,Javier,1642756738661,4056770,Breast signs and symptoms,Condition,MAPS_TO,,<auto>,1642599199186,
7223A,"Intervertebral disk disorders, Schmorl's nodes",0,80496,unique_parent_match,NODI SCHMORL,2000406011,Condition,5-char ICD9fi,1970-01-01,2099-12-31,722,,,0.69,APPROVED,EQUIVALENT,Javier,1642756805650,80496,Schmorl's nodes,Condition,MAPS_TO,,<auto>,1642599200672,
9412B,"Burn of face, head and neck, Blisters, epidermal loss [second degree][COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,10-29%]",0,36674267,parent_match,"COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,10-29%",2000408206,Condition,5-char ICD9fi,1970-01-01,2099-12-31,941,,,0.33,APPROVED,NARROWER,Javier,1642756738661,40490306,Partial thickness burn of face,Condition,MAPS_TO,,<auto>,1642599201049,
1726D,"Malignant melanoma of skin, Upper limb, including shoulder[MELANOMA MAL CUTIS EXTR SUPER,MUU TAI TARK MÄÄR]",0,438983,parent_match,"MELANOMA MAL CUTIS EXTR SUPER,MUU TAI TARK MÄÄR",2000401501,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.44,APPROVED,NARROWER,Javier,1642756738661,4094261,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",Condition,MAPS_TO,,<auto>,1642599201619,
7115B,"Arthropathy associated with infections, Arthropathy associated with other viral diseases[ARTHRITIS (POSTINFECTIOSA) VIROSA, KYYNÄRNIVEL]",0,77348,parent_match,"ARTHRITIS (POSTINFECTIOSA) VIROSA, KYYNÄRNIVEL",2000405739,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.44,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599202033,
4241A,"Other diseases of endocardium, Aortic valve disorders[INSUFFICIENTIA VALVULAE AORTAE (NON RHEUMATICA)]",147,314054,parent_match,INSUFFICIENTIA VALVULAE AORTAE (NON RHEUMATICA),2000403663,Condition,5-char ICD9fi,1970-01-01,2099-12-31,424,,,0.47,APPROVED,NARROWER,Javier,1642756738661,4244437,Rheumatic mitral AND aortic valve regurgitation,Condition,MAPS_TO,,<auto>,1642599202064,
6117C,"Other disorders of breast, Signs and symptoms in breast[RETRACTIO MAMILLAE]",0,4056770,parent_match,RETRACTIO MAMILLAE,2000404790,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.52,APPROVED,NARROWER,Javier,1642756738661,4056770,Breast signs and symptoms,Condition,MAPS_TO,,<auto>,1642599203461,
1628D,"Malignant neoplasm of trachea, bronchus and lung, Other parts of bronchus or lung[NEOPL MAL PULMONIS LOCO MULTIPLICI,CA MACROCELLUL]",0,4311499,parent_match,"NEOPL MAL PULMONIS LOCO MULTIPLICI,CA MACROCELLUL",2000401296,Condition,5-char ICD9fi,1970-01-01,2099-12-31,162,,,0.47,APPROVED,NARROWER,Javier,1642756738661,35610239,Malignant neoplasm of bronchus or lung,Condition,MAPS_TO,,<auto>,1642599203573,
4741D,"Chronic disease of tonsils and adenoids, Hypertrophy of tonsils and adenoids[HYPERTROPHIA TONSILLAE PALATINAE ET PHARYNGICAE]",263,4148121,parent_match,HYPERTROPHIA TONSILLAE PALATINAE ET PHARYNGICAE,2000403923,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.56,APPROVED,NARROWER,Javier,1642756738661,31598,Hypertrophy of tonsils AND adenoids,Condition,MAPS_TO,,<auto>,1642599203957,
7224A,"Intervertebral disk disorders, Degeneration of cervical intervertebral disk[DEGENERATIO DISCI INTERVERTEBRALIS CERVICALIS]",137,314131,parent_match,DEGENERATIO DISCI INTERVERTEBRALIS CERVICALIS,2000406012,Condition,5-char ICD9fi,1970-01-01,2099-12-31,722,,,0.59,APPROVED,NARROWER,Javier,1642756738661,314131,Degeneration of cervical intervertebral disc,Condition,MAPS_TO,,<auto>,1642599204784,
1726X,"Malignant melanoma of skin, Upper limb, including shoulder[MELANOMA MAL CUTIS EXTR SUPER,EI HIST VAHV]",0,438983,parent_match,"MELANOMA MAL CUTIS EXTR SUPER,EI HIST VAHV",2000401502,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.48,APPROVED,NARROWER,Javier,1642756738661,4094261,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",Condition,MAPS_TO,,<auto>,1642599205760,
7115C,"Arthropathy associated with infections, Arthropathy associated with other viral diseases[ARTHRITIS (POSTINFECTIOSA) VIROSA, RANNE]",0,77348,parent_match,"ARTHRITIS (POSTINFECTIOSA) VIROSA, RANNE",2000405740,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.54,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599206217,
4241B,"Other diseases of endocardium, Aortic valve disorders[STENOSIS VALVULAE AORTAE (NON RHEUMATICA)]",95,314054,parent_match,STENOSIS VALVULAE AORTAE (NON RHEUMATICA),2000403664,Condition,5-char ICD9fi,1970-01-01,2099-12-31,424,,,0.49,APPROVED,NARROWER,Javier,1642756738661,315282,Rheumatic disease of aortic valve,Condition,MAPS_TO,,<auto>,1642599206307,
9412C,"Burn of face, head and neck, Blisters, epidermal loss [second degree][COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,30-49%]",0,36674267,parent_match,"COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,30-49%",2000408207,Condition,5-char ICD9fi,1970-01-01,2099-12-31,941,,,0.33,APPROVED,NARROWER,Javier,1642756738661,40490306,Partial thickness burn of face,Condition,MAPS_TO,,<auto>,1642599206776,
4742A,"Chronic disease of tonsils and adenoids, Adenoid vegetations",1542,439042,unique_parent_match,TONSILLITIS PHARYNGICA CHRONICA,2000403924,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.67,APPROVED,EQUIVALENT,Javier,1642756805650,432347,Chronic disease of tonsils AND/OR adenoids,Condition,MAPS_TO,,<auto>,1642599207091,
6117D,"Other disorders of breast, Signs and symptoms in breast[SUBINVOLUTIO MAMMAE POST PARTUM]",8,4056770,parent_match,SUBINVOLUTIO MAMMAE POST PARTUM,2000404791,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.49,APPROVED,NARROWER,Javier,1642756738661,4056770,Breast signs and symptoms,Condition,MAPS_TO,,<auto>,1642599208087,
7224B,"Intervertebral disk disorders, Degeneration of cervical intervertebral disk[DEGENERATIO DISCI INTERVERTEBRALIS CERVICALIS INST]",13,314131,parent_match,DEGENERATIO DISCI INTERVERTEBRALIS CERVICALIS INST,2000406013,Condition,5-char ICD9fi,1970-01-01,2099-12-31,722,,,0.57,APPROVED,NARROWER,Javier,1642756738661,314131,Degeneration of cervical intervertebral disc,Condition,MAPS_TO,,<auto>,1642599208431,
1628E,"Malignant neoplasm of trachea, bronchus and lung, Other parts of bronchus or lung[NEOPL MAL PULMONIS LOCO MULTIPLICI,CA ALIA DEF/NUD]",0,4311499,parent_match,"NEOPL MAL PULMONIS LOCO MULTIPLICI,CA ALIA DEF/NUD",2000401297,Condition,5-char ICD9fi,1970-01-01,2099-12-31,162,,,0.43,APPROVED,NARROWER,Javier,1642756738661,35610239,Malignant neoplasm of bronchus or lung,Condition,MAPS_TO,,<auto>,1642599208513,
1727A,"Malignant melanoma of skin, Lower limb, including hip[MELANOMA MAL CUTIS EXTR INFER,MELAN EX LENTIGOMAL]",9,139757,parent_match,"MELANOMA MAL CUTIS EXTR INFER,MELAN EX LENTIGOMAL",2000401503,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.47,APPROVED,NARROWER,Javier,1642756738661,4097283,"Malignant neoplasm of peripheral nerves of lower limb, including hip",Condition,MAPS_TO,,<auto>,1642599209674,
4748X,"Chronic disease of tonsils and adenoids, Other chronic disease of tonsils and adenoids",11,432347,unique_parent_match,MORBI CHRONICI TONSILLAE ALIA DEFINITA,2000403925,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.72,APPROVED,EQUIVALENT,Javier,1642756805650,432347,Chronic disease of tonsils AND/OR adenoids,Condition,MAPS_TO,,<auto>,1642599209938,
7115D,"Arthropathy associated with infections, Arthropathy associated with other viral diseases[ARTHRITIS (POSTINFECTIOSA) VIROSA, KÄSI]",0,77348,parent_match,"ARTHRITIS (POSTINFECTIOSA) VIROSA, KÄSI",2000405741,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.48,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599209968,
4241C,"Other diseases of endocardium, Aortic valve disorders[INSUFFICIENTIA/STENOSIS VALVULAE AORTAE (NON RHEUM)]",65,314054,parent_match,INSUFFICIENTIA/STENOSIS VALVULAE AORTAE (NON RHEUM),2000403665,Condition,5-char ICD9fi,1970-01-01,2099-12-31,424,,,0.46,APPROVED,NARROWER,Javier,1642756738661,4304541,Rheumatic mitral valve insufficiency and aortic valve stenosis,Condition,MAPS_TO,,<auto>,1642599210833,
9412D,"Burn of face, head and neck, Blisters, epidermal loss [second degree][COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,50-69%]",0,36674267,parent_match,"COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS II,50-69%",2000408208,Condition,5-char ICD9fi,1970-01-01,2099-12-31,941,,,0.32,APPROVED,NARROWER,Javier,1642756738661,40490306,Partial thickness burn of face,Condition,MAPS_TO,,<auto>,1642599211412,
6117E,"Other disorders of breast, Signs and symptoms in breast[RINTARAUHASEN POIKKEAVA ERITE]",0,4056770,parent_match,RINTARAUHASEN POIKKEAVA ERITE,2000404792,Condition,5-char ICD9fi,1970-01-01,2099-12-31,611,,,0.44,APPROVED,NARROWER,Javier,1642756738661,4056770,Breast signs and symptoms,Condition,MAPS_TO,,<auto>,1642599212193,
7225A,"Intervertebral disk disorders, Degeneration of thoracic or lumbar intervertebral disk[DEGENERATIO DISCI INTERVERTEBRALIS THORAC SEU LUMB]",352,80816,parent_match,DEGENERATIO DISCI INTERVERTEBRALIS THORAC SEU LUMB,2000406014,Condition,5-char ICD9fi,1970-01-01,2099-12-31,722,,,0.54,APPROVED,NARROWER,Javier,1642756738661,434449,Degeneration of thoracolumbar intervertebral disc,Condition,MAPS_TO,,<auto>,1642599212813,
4749X,"Chronic disease of tonsils and adenoids, Unspecified chronic disease of tonsils and adenoids",11,432347,unique_parent_match,MORBI CHRONICI TONSILLAE NUD,2000403926,Condition,5-char ICD9fi,1970-01-01,2099-12-31,474,,,0.65,APPROVED,EQUIVALENT,Javier,1642756805650,432347,Chronic disease of tonsils AND/OR adenoids,Condition,MAPS_TO,,<auto>,1642599213139,
1628F,"Malignant neoplasm of trachea, bronchus and lung, Other parts of bronchus or lung[NEOPL MAL PULMONIS LOCO MULTIPLICI,MUU HISTOLOGIA]",0,4311499,parent_match,"NEOPL MAL PULMONIS LOCO MULTIPLICI,MUU HISTOLOGIA",2000401298,Condition,5-char ICD9fi,1970-01-01,2099-12-31,162,,,0.46,APPROVED,NARROWER,Javier,1642756738661,35610239,Malignant neoplasm of bronchus or lung,Condition,MAPS_TO,,<auto>,1642599213240,
1727B,"Malignant melanoma of skin, Lower limb, including hip[MELANOMA MAL CUTIS EXTR INFER,SUPERFICIAL SPREAD]",11,139757,parent_match,"MELANOMA MAL CUTIS EXTR INFER,SUPERFICIAL SPREAD",2000401504,Condition,5-char ICD9fi,1970-01-01,2099-12-31,172,,,0.52,APPROVED,NARROWER,Javier,1642756738661,4110725,Superficial spreading malignant melanoma of skin,Condition,MAPS_TO,,<auto>,1642599214136,
7115E,"Arthropathy associated with infections, Arthropathy associated with other viral diseases[ARTHRITIS (POSTINFECTIOSA) VIROSA, LONKKANIVEL]",0,77348,parent_match,"ARTHRITIS (POSTINFECTIOSA) VIROSA, LONKKANIVEL",2000405742,Condition,5-char ICD9fi,1970-01-01,2099-12-31,711,,,0.49,APPROVED,NARROWER,Javier,1642756738661,76777,Arthropathy associated with infection,Condition,MAPS_TO,,<auto>,1642599214248,
475,Peritonsillar abscess,0,440751,full_match,PERITONSILLITIS,2000403927,Condition,3-char ICD9fi,1970-01-01,2099-12-31,470-478,,,1.00,APPROVED,EQUAL,Javier,1642756146926,440751,Peritonsillar abscess,Condition,MAPS_TO,,<auto>,1642599214431,
